#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
145,Somalia,"17,302",,963 ,,"8,363",,"7,976",,"1,055",59,"198,186","12,081","16,404,877 ",Africa,"94817,03583",,,486
146,Tajikistan,"16,778",,124 ,,"16,618",,36,,"1,715",13,,,"9,785,118 ",Asia,"58378,912",,,4
147,Timor-Leste,"16,402",,62 ,,"11,786",,"4,554",,"12,172",46,"169,501","125,792","1,347,474 ",Asia,"8221,7338",,,"3,380"
148,Belize,"16,012",,356 ,,"14,607",,"1,049",3,"39,441",877,"217,117","534,805","405,974 ",North America,"251,1402",,,"2,584"
149,Taiwan,"15,983",,834 ,,"14,941",,208,,670,35,"4,852,685","203,324","23,866,760 ",Asia,"1,49328,6175",,,9
150,Curaçao,"15,248",,143 ,,"14,658",,447,4,"92,484",867,"235,171","1,426,394","164,871 ",North America,"111,1531",,,"2,711"
151,Andorra,"15,025",,130 ,,"14,821",,74,7,"194,101","1,679","193,595","2,500,969","77,408 ",Europe,55950,,,956
152,Mali,"14,857",,539 ,,"14,095",,223,,710,26,"380,416","18,181","20,923,768 ",Africa,"1,40838,82055",,,11
153,Laos,"14,641",,12 ,,"4,928",,"9,701",,"1,979",2,"375,133","50,709","7,397,717 ",Asia,"505616,47620",,,"1,311"
154,Aruba,"14,465",,137 ,,"13,758",,570,14,"134,820","1,277","177,885","1,657,968","107,291 ",North America,77831,,,"5,313"
155,Lesotho,"14,395",,403 ,,"6,830",,"7,162",,"6,658",186,"146,630","67,824","2,161,922 ",Africa,"1505,36515",,,"3,313"
156,Burkina Faso,"13,762",,171 ,,"13,516",,75,,638,8,"211,697","9,817","21,564,747 ",Africa,"1,567126,110102",,,3
157,Congo,"13,533",,183 ,,"12,421",,929,,"2,385",32,"188,207","33,165","5,674,921 ",Africa,"41931,01030",,,164
158,Benin,"13,366",,128 ,,"8,854",,"4,384",5,"1,070",10,"604,310","48,385","12,489,743 ",Africa,"93497,57621",,,351
159,Hong Kong,"12,108",,212 ,,"11,783",,113,,"1,600",28,"23,570,776","3,114,763","7,567,439 ",Asia,"62535,6950",,,15
160,Burundi,"11,994",,38 ,,773,,"11,183",,975,3,"345,742","28,111","12,299,274 ",Africa,"1,025323,66536",,,909
161,Djibouti,"11,741",,157 ,,"11,540",,44,,"11,687",156,"205,913","204,965","1,004,624 ",Africa,"866,3995",,,44
162,South Sudan,"11,403",,120 ,,"10,948",,335,,"1,005",11,"212,924","18,767","11,345,654 ",Africa,"99594,54753",,,30
163,CAR,"11,270",,99 ,,"6,859",,"4,312",2,"2,287",20,"60,228","12,224","4,926,875 ",Africa,"43749,76682",,,875
164,Nicaragua,"11,167",,199 ,,"4,225",,"6,743",,"1,663",30,,,"6,715,794 ",North America,"60133,748",,,"1,004"
165,Iceland,"10,658",,33 ,,"9,781",,844,14,"31,000",96,"968,146","2,815,941","343,809 ",Europe,"3210,4180",,,"2,455"
166,Channel Islands,"10,486",,95 ,,"9,957",,434,,"59,675",541,"809,829","4,608,659","175,719 ",Europe,"171,8500",,,"2,470"
167,Gambia,"9,626",,314 ,,"9,194",,118,3,"3,858",126,"101,817","40,808","2,495,008 ",Africa,"2597,94625",,,47
